City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,vuktyl,63.8567,57.3094,7.4,58,76,6.03,RU,1686765214
271,glace bay,46.1969,-59.957,16.29,75,100,7.72,CA,1686765215
272,san antonio de pale,-1.4014,5.6325,24.95,86,54,6.0,GQ,1686764701
273,tucuma,-0.1833,-50.05,29.51,68,13,3.6,BR,1686765215
274,hammerfest,70.6634,23.6821,8.25,81,75,12.86,NO,1686764624
275,iwon-up,40.3231,128.6553,16.3,90,6,1.85,KP,1686765216
276,egilsstadir,65.2653,-14.3948,19.95,45,40,5.14,IS,1686765216
277,papayal,-4.0761,-80.7361,30.52,47,40,2.69,PE,1686765216
278,dassun,17.7204,121.6816,25.77,92,100,0.56,PH,1686765217
279,amga,60.8953,131.9608,3.95,98,100,1.73,RU,1686765217
280,banda aceh,5.5577,95.3222,26.94,80,55,5.28,ID,1686765217
281,gorom-gorom,14.4439,-0.2361,37.54,27,3,3.79,BF,1686765217
282,maragogi,-9.0122,-35.2225,25.93,85,46,5.08,BR,1686765217
283,chonchi,-42.6128,-73.8092,10.62,99,100,1.23,CL,1686764688
284,port alfred,-33.5906,26.891,12.88,79,100,1.79,ZA,1686765217
285,karditsa,39.3656,21.9217,25.77,65,43,0.89,GR,1686765217
286,saldanha,-33.0117,17.9442,14.03,87,100,4.41,ZA,1686765218
287,kerman,30.2832,57.0788,28.92,17,20,2.06,IR,1686765218
288,kerema,-7.9631,145.7785,25.2,91,100,0.1,PG,1686765218
289,mendoza,-32.8908,-68.8272,11.74,32,0,2.06,AR,1686765035
290,cururupu,-1.8283,-44.8683,29.87,60,13,3.54,BR,1686765218
291,justo daract,-33.8594,-65.1828,17.61,13,5,1.96,AR,1686765218
292,mandalgovi,45.7625,106.2708,18.78,39,0,2.64,MN,1686764857
293,russkaya polyana,49.417,31.9201,18.92,74,100,3.82,UA,1686765219
294,susaki,33.3667,133.2833,21.04,90,100,1.15,JP,1686765219
295,pahrump,36.2083,-115.9839,30.7,28,7,2.68,US,1686765219
296,al wajh,26.2455,36.4525,30.97,62,0,5.14,SA,1686765220
297,rocha,-34.4833,-54.3333,14.2,35,3,1.41,UY,1686765026
298,juegang,32.3174,121.1855,20.53,80,0,1.36,CN,1686765220
299,thunder bay,48.4001,-89.3168,12.99,67,100,4.63,CA,1686764947
300,puerto madero,14.7208,-92.4215,30.9,70,44,4.01,MX,1686765221
301,negombo,7.2083,79.8358,28.03,83,40,3.09,LK,1686764989
302,aykhal,66.0,111.5,8.1,83,100,9.54,RU,1686764709
303,kikwit,-5.041,18.8162,23.87,82,78,1.89,CD,1686765221
304,carbonear,47.7332,-53.2148,15.97,82,56,3.02,CA,1686765222
305,san patricio,28.017,-97.5169,33.05,47,90,8.09,US,1686765222
306,port mathurin,-19.6833,63.4167,25.01,79,8,8.88,MU,1686764624
307,morinville,53.8001,-113.652,12.89,94,100,9.26,CA,1686765222
308,dunedin,-45.8742,170.5036,7.11,74,85,1.34,NZ,1686764471
309,vila velha,-20.3297,-40.2925,26.97,74,20,4.63,BR,1686764708
310,kavaratti,10.5669,72.642,29.37,76,100,7.47,IN,1686764813
311,torit,4.4133,32.5678,22.18,86,70,1.89,SS,1686765223
312,trancas,-26.2314,-65.2803,17.67,26,0,0.37,AR,1686765224
313,lamu,-2.2717,40.902,25.48,80,98,5.81,KE,1686765224
314,zhongshan,21.3226,110.5829,26.67,88,94,2.82,CN,1686765224
315,las tablas,7.7667,-80.2833,30.11,69,100,2.32,PA,1686765163
